Union ID,Union Name,Upazila ID
1,Amtali,1
2,Arpangashia,1
3,Atharagachhia,1
4,Barabagi,1
5,Chowra,1
6,Gulisakhali,1
7,Haldia,1
8,Karaibaria,1
9,Kukua,1
10,Pancha Koralia,1
11,Bamna,2
12,Bukabunia,2
13,Dauatala,2
14,Ramna,2
15,Aylapatakata,3
16,Badarkhali,3
17,Barguna,3
18,Burir Char,3
19,Dhalua,3
20,Fuljhury,3
21,Gaurichana,3
22,Keorabunia,3
23,M.Baliatali,3
24,Naltona,3
25,Betagi,4
26,Bibichini,4
27,Buramazumdar,4
28,Hosnabad,4
29,Kazirabad,4
30,Mokamia,4
31,Sariamuri,4
32,Charduani,5
33,Kakchira,5
34,Kalmegha,5
35,Kanthaltali,5
36,Nachna Para,5
37,Patharghata,5
38,Raihanpur,5
39,Pochakoralia,6
40,Chotobogi,6
41,Koroibaria,6
42,Sharikkhali,6
43,Borobogi,6
44,Nishanbaria,6
45,Sonakata,6
46,Bagdha,7
47,Bakal,7
48,Gaila,7
49,Rajiher,7
50,Ratnapur,7
51,Agarpur,8
52,Chandpasha,8
53,Dehergati,8
54,Kedarpur,8
55,Madhabpasha,8
56,Rahmatpur,8
57,Bhoypasha,9
58,Charadi,9
59,Charamaddi,9
60,Darial,9
61,Dudhal,9
62,Durgapasha,9
63,Faridpur,9
64,Garuria,9
65,Kabai,9
66,Kalaskathi,9
67,Nalua,9
68,Niamati,9
69,Padrishibpur,9
70,Rangasree,9
71,Banari Para,10
72,Baisari Para,10
73,Bisar Kandi,10
74,Chakhar,10
75,Iluhar,10
76,Saliabakpur,10
77,Sayedkathi,10
78,Udoykathi,10
79,Bardhi,11
80,Batajore,11
81,Chandshi,11
82,Khanjapur,11
83,Mahilara,11
84,Nalchira,11
85,Sarikal,11
86,Bara Jalia,12
87,Dhulkhola,12
88,Guabaria,12
89,Harinathpur,12
90,Hizla Gourabdi,12
91,Memania,12
92,Kuchaipotty,12
93,Chandpur,13
94,Chandra Mohan,13
95,Char Baria,13
96,Char Kowa,13
97,Char Monai,13
98,Jagua,13
99,Kashipur,13
100,Roypasha Karapur,13
101,Shayestabad,13
102,Tungibaria,13
103,Alimabad,14
104,Andhar Manik,14
105,Bhasan Char,14
106,Bidyanandapur,14
107,Chandpur,14
108,Gobindapur,14
109,Char Ekkaria,14
110,Char Gopalpur,14
111,Darichar Khajuria,14
112,Jangalia,14
113,Lata,14
114,Mehendiganj,14
115,Ulania,14
116,Batamara,15
117,Char Kalekhan,15
118,Gachhua,15
119,Kazir Char,15
120,Muladi,15
121,Nazirpur,15
122,Safipur,15
123,Bamrail,16
124,Bara Kotha,16
125,Gutia,16
126,Harta,16
127,Jolla,16
128,Otra,16
129,Satla,16
130,Shikarpur,16
131,Sholak,16
132,Alinagar,17
133,Bapta,17
134,Char Syamaia,17
135,Shibpur,17
136,Dhania,17
137,Illisha,17
138,Illisha Paschim,17
139,Kachia,17
140,Uttar Dighaldi,17
141,Rajapur,17
142,Dakshin Dighaldi,17
143,Bheduria,17
144,Velumia,17
145,Bara Manika,18
146,Deula,18
147,Gangapur,18
148,Hassan Nagar,18
149,Kachia,18
150,Kutuba,18
151,Pakshia,18
152,Sachra,18
153,Tobgi,18
154,Aminabad,19
155,Aslampur,19
156,Char Kalmi,19
157,Char Madras,19
158,Char Manika,19
159,Hazariganj,19
160,Jinnaghar,19
161,Kukuri-Mukuri,19
162,Nilkamal,19
163,Nurabad,19
164,Osmanganj,19
165,Rasulpur,19
166,Eajpur,19
167,Jahanpur,19
168,Abdullahpur,19
169,Abubakarpur,19
170,Nazrul Nagar,19
171,Mujib Nagar,19
172,Dhalchar,19
173,Char Khalifa,20
174,Char Pata,20
175,Hajipur,20
176,Madonpur,20
177,Uttar Joynagar,20
178,Dakshin Joynagar,20
179,Sayeddpur,20
180,Medua,20
181,Bhabanipur,20
182,Badarpur,21
183,Char Bhuta,21
184,Dhali Gaurnagar,21
185,Farazganj,21
186,Kalma,21
187,Lalmohan,21
188,Lord Hardinge,21
189,Ramaganj,21
190,Paschim Char Umed,21
